Stock,Sector,,,
DUK,^SP500-55,,,
EIX,^SP500-55,,,
ETR,^SP500-55,,,
EVRG,^SP500-55,,,
ES,^SP500-55,,,
EXC,^SP500-55,,,
FE,^SP500-55,,,
NEE,^SP500-55,,,
NI,^SP500-55,,,
NRG,^SP500-55,,,
PCG,^SP500-55,,,
PNW,^SP500-55,,,
PPL,^SP500-55,,,
PEG,^SP500-55,,,
SRE,^SP500-55,,,
SO,^SP500-55,,,
VST,^SP500-55,,,
WEC,^SP500-55,,,
XEL,^SP500-55,,,
